"","team","season","avg_to_epa","tot_to_epa","fum_lost_rate","ints","fumbles","sacks","tos","sacks_pct","avg_to_forced_epa","tot_to_forced_epa","fum_lost_rate_forced","ints_forced","fumbles_forced","sacks_forced","tos_forced","sacks_forced_pct","net_tos","net_to_epa_tot","net_to_epa_avg"
"60","NO",2000,-1.95922133649472,-144.982378900609,0.352941176470588,18,17,39,74,0.527027027027027,-2.27662524548772,-223.109274057796,0.722222222222222,23,18,59,98,0.602040816326531,-24,78.1268951571875,0.454226134634811
"61","JAX",1999,-2.02307515293887,-129.476809788088,0.5625,14,16,35,64,0.546875,-2.09575076684241,-207.479325917398,0.5,22,24,53,99,0.535353535353535,-35,78.0025161293104,0.4785430437381
"62","SEA",2007,-2.39559212350838,-148.52671165752,0.615384615384615,15,13,34,62,0.548387096774194,-2.71783934934668,-225.580665995774,0.608695652173913,22,23,38,83,0.457831325301205,-21,77.0539543382544,0.531406581643134
"63","PIT",2005,-2.1521576386149,-137.738088871354,0.454545454545455,17,11,36,64,0.5625,-2.35915201281553,-214.682833166214,0.65,20,20,51,91,0.56043956043956,-27,76.9447442948596,0.496417705128127
"64","IND",2020,-2.67394899290261,-96.2621637444938,0.428571428571429,11,7,19,36,0.527777777777778,-2.74820635165814,-173.137000154463,0.583333333333333,15,12,36,63,0.571428571428571,-27,76.8748364099693,0.776513499090599
"65","NE",2016,-2.12324458883834,-101.91574026424,0.5,5,14,29,48,0.604166666666667,-2.5482021246694,-178.374148726858,0.6,17,15,38,70,0.542857142857143,-22,76.4584084626179,0.647952614089983
"66","PHI",2017,-2.33402913921862,-128.371602657024,0.615384615384615,10,13,32,55,0.581818181818182,-3.00556728781607,-204.378575571493,0.8,21,15,33,68,0.485294117647059,-13,76.0069729144684,0.617942869223321
"67","ATL",2016,-2.2145831080415,-121.802070942282,0.625,7,8,40,55,0.727272727272727,-2.74510568548022,-197.647609354576,0.526315789473684,16,19,37,72,0.513888888888889,-17,75.8455384122937,0.597208963876328
"68","NE",2014,-2.29120719581704,-109.977945399218,0.444444444444444,13,9,26,48,0.541666666666667,-2.53741099865384,-185.231002901731,0.533333333333333,21,15,37,73,0.506849315068493,-25,75.2530575025128,0.621926095062089
"69","KC",2002,-2.09500615944743,-85.8952525373448,0.5,13,2,26,41,0.634146341463415,-2.63572020631137,-160.778932584993,1,18,12,31,61,0.508196721311475,-20,74.8836800476486,0.734153725957339
"70","BUF",2004,-2.56900705258924,-159.278437260533,0.727272727272727,17,11,34,62,0.548387096774194,-2.88021831583716,-233.29768358281,0.55,24,20,37,81,0.45679012345679,-19,74.0192463222767,0.517617107148788
"71","LA",2003,-2.43748098796623,-190.123517061366,0.571428571428571,26,21,33,78,0.423076923076923,-3.18042882037153,-263.975592090837,0.826086956521739,25,23,35,83,0.421686746987952,-5,73.8520750294711,0.458708540555721
"72","NE",2022,-2.26431363431756,-144.916072596324,0.538461538461538,14,13,37,64,0.578125,-2.76637418269589,-218.543560432976,0.615384615384615,19,13,47,79,0.594936708860759,-15,73.6274878366515,0.514877537319242
"73","GB",2020,-2.10401148755616,-82.05644801469,0.444444444444444,6,9,24,39,0.615384615384615,-2.32290028063957,-155.634318802851,0.636363636363636,14,11,42,67,0.626865671641791,-28,73.5778707881609,0.694130856492084
"74","IND",2004,-2.56832542341311,-100.164691513111,0.4375,12,16,11,39,0.282051282051282,-2.14158329175675,-173.468246632297,0.391304347826087,20,23,39,81,0.481481481481481,-42,73.3035551191856,0.610862959326547
"75","NYJ",2001,-2.58807914101034,-100.935086499403,0.444444444444444,14,9,16,39,0.41025641025641,-2.44959690797446,-173.921380466187,0.727272727272727,20,22,30,71,0.422535211267606,-32,72.9862939667838,0.663511763334398
"76","ATL",2012,-2.38529604676999,-124.035394432039,0.375,17,8,27,52,0.519230769230769,-2.98416703568713,-196.955024355351,0.764705882352941,21,17,28,66,0.424242424242424,-14,72.9196299233116,0.617962965451793
"77","NE",2006,-2.17763415200716,-135.013317424444,0.555555555555556,16,27,20,62,0.32258064516129,-2.53255690663596,-207.669666344149,0.733333333333333,25,15,42,82,0.51219512195122,-20,72.6563489197048,0.504557978609061
"78","LAC",2004,-2.06082527880317,-88.6154869885364,0.411764705882353,9,17,17,43,0.395348837209302,-2.64226779722263,-161.17833563058,0.75,23,12,26,61,0.426229508196721,-18,72.5628486420438,0.697719698481191
"79","GB",2009,-2.07186626893729,-147.102505094547,0.642857142857143,9,14,49,71,0.690140845070423,-2.9062678783181,-217.970090873857,0.727272727272727,30,11,34,75,0.453333333333333,-4,70.8675857793101,0.485394423145959
"80","MIA",2020,-2.39181001751645,-131.549550963405,0.6,13,10,32,55,0.581818181818182,-3.0169960527493,-202.138735534203,0.666666666666667,18,15,35,67,0.522388059701492,-12,70.589184570798,0.578599873531131
"81","DET",2014,-1.91731966392675,-132.295056810946,0.333333333333333,13,15,41,69,0.594202898550725,-2.70446230856684,-202.834673142513,0.428571428571429,20,14,42,75,0.56,-6,70.5396163315669,0.489858446746993
"82","NYJ",1999,-1.81415642827456,-103.40691641165,0.428571428571429,16,7,34,57,0.596491228070175,-2.84662153067264,-173.643913371031,0.647058823529412,24,17,20,61,0.327868852459016,-4,70.2369969593813,0.595228787791367
"83","ATL",2010,-2.34190451085679,-110.069512010269,0.666666666666667,11,12,25,47,0.531914893617021,-2.76252871739189,-179.564366630473,0.615384615384615,22,13,30,65,0.461538461538462,-18,69.4948546202035,0.620489773394674
"84","LAC",2006,-2.12842311845685,-100.035886567472,0.625,10,8,29,47,0.617021276595745,-1.87206166411312,-168.48554977018,0.523809523809524,19,21,52,90,0.577777777777778,-43,68.4496632027085,0.499632578121959
"85","DET",2011,-2.3941569583042,-146.043574456556,0.6,18,10,33,61,0.540983606557377,-3.04316327071565,-213.021428950095,0.578947368421053,21,19,30,70,0.428571428571429,-9,66.9778544935389,0.511281332011748
"86","DAL",2022,-2.91915332890965,-148.876819774392,0.333333333333333,20,6,25,51,0.490196078431373,-2.50855524385555,-215.735750971577,0.7,17,20,49,86,0.569767441860465,-35,66.8589311971849,0.48802139559989
"87","CAR",2005,-2.68974868211997,-172.143915655678,0.409090909090909,20,22,22,64,0.34375,-2.77007959868079,-238.226845486548,1,27,15,44,86,0.511627906976744,-22,66.0829298308694,0.440552865539129
"88","TEN",1999,-2.43975295156779,-136.626165287796,0.75,15,16,25,56,0.446428571428571,-2.01280268763826,-201.280268763826,0.5625,18,32,50,100,0.5,-44,64.6541034760297,0.414449381256601
"89","BAL",2009,-2.27087418706409,-138.523325410909,0.615384615384615,16,13,32,61,0.524590163934426,-2.82076418824243,-203.095021553455,0.733333333333333,26,15,32,72,0.444444444444444,-11,64.5716961425456,0.485501474755982
"90","GB",2008,-2.02379921989797,-111.308957094388,0.5,13,12,30,55,0.545454545454545,-3.02981208023216,-175.729100653465,0.4,22,10,26,58,0.448275862068966,-3,64.420143559077,0.570089766009531
"91","CHI",2005,-2.32437121709123,-123.191674505835,0.75,16,12,27,53,0.509433962264151,-2.40527540365893,-187.611481485397,0.368421052631579,25,19,34,78,0.435897435897436,-25,64.4198069795615,0.491754251752378
"92","SF",2019,-2.86038869155703,-174.483710184979,0.7,16,10,35,61,0.573770491803279,-2.53617290700297,-238.400253258279,0.444444444444444,17,27,50,94,0.531914893617021,-33,63.9165430733002,0.412364794021291
"93","NYJ",2004,-2.31113301204026,-124.801182650174,0.444444444444444,12,9,33,54,0.611111111111111,-2.58308317837031,-188.565072021032,0.588235294117647,22,17,34,73,0.465753424657534,-19,63.7638893708585,0.502077869061878
"94","JAX",2007,-2.18965723341401,-118.241490604357,0.692307692307692,11,13,30,54,0.555555555555556,-2.52596373312642,-181.869388785102,0.571428571428571,23,14,36,72,0.5,-18,63.6278981807452,0.504983318894804
"95","NYG",2012,-3.18955002436026,-124.39245095005,0.625,15,8,16,39,0.41025641025641,-2.98382831058849,-187.981183567075,0.727272727272727,21,11,31,63,0.492063492063492,-24,63.5887326170248,0.623418947225734
"96","SEA",2014,-1.66686391140823,-121.681065532801,0.333333333333333,12,12,49,73,0.671232876712329,-2.50059770922287,-185.044230482493,0.352941176470588,19,17,38,74,0.513513513513513,-1,63.3631649496918,0.431041938433277
"97","MIA",2008,-2.0239642407877,-99.1742477985972,0.5,11,14,25,49,0.510204081632653,-2.31993437780704,-162.395406446492,0.6,18,15,37,70,0.528571428571429,-21,63.2211586478953,0.531270240738616
"98","IND",2008,-2.61952722195491,-91.6834527684217,0.375,12,8,15,35,0.428571428571429,-2.4768703716528,-153.565963042474,0.545454545454545,16,22,24,62,0.387096774193548,-27,61.8825102740519,0.637964023443834
"99","CAR",2004,-2.35407616892079,-124.766036952802,0.5,15,14,24,53,0.452830188679245,-2.61666841520903,-185.783457479841,0.523809523809524,26,21,26,71,0.366197183098592,-18,61.0174205270395,0.492075971992254
"100","BAL",2014,-2.87475809889472,-123.614598252473,0.454545454545455,14,11,18,43,0.418604651162791,-2.22357037842151,-184.556341408985,0.529411764705882,14,17,52,83,0.626506024096386,-40,60.9417431565123,0.483664628226288
"101","PHI",2002,-2.41143564379699,-159.154752490601,0.681818181818182,12,22,32,66,0.484848484848485,-2.33625377305477,-219.607854667149,0.607142857142857,18,28,48,94,0.51063829787234,-28,60.4531021765476,0.377831888603423
"102","PIT",2023,-2.21423245544597,-132.853947326758,0.4,10,15,35,60,0.583333333333333,-2.5391437125322,-192.974922152447,0.611111111111111,16,18,42,76,0.552631578947368,-16,60.1209748256894,0.442065991365363
"103","HOU",2012,-2.50165505577287,-122.581097732871,0.444444444444444,15,9,25,49,0.510204081632653,-2.50039350063254,-182.528725546175,0.705882352941177,16,17,40,73,0.547945205479452,-24,59.9476278133046,0.49137399846971
"104","HOU",2023,-2.04560431200322,-122.736258720193,0.545454545454545,8,11,42,60,0.7,-2.31096620137171,-182.566329908365,0.538461538461538,16,13,50,79,0.632911392405063,-19,59.830071188172,0.430432166821381
"105","PHI",2016,-2.02019781330294,-109.090681918359,0.416666666666667,14,12,28,54,0.518518518518518,-3.11577011407249,-168.251586159915,0.75,16,12,26,54,0.481481481481481,0,59.1609042415558,0.547786150384776
"106","LAC",2002,-2.19818879585667,-105.51306220112,0.5,16,10,22,48,0.458333333333333,-2.45242598594322,-164.312541058196,0.692307692307692,17,13,37,67,0.552238805970149,-19,58.7994788570756,0.511299816148484
"107","SF",2013,-2.05871434003655,-131.757717762339,0.769230769230769,11,13,40,64,0.625,-2.37641157242753,-190.112925794202,0.5,20,16,45,80,0.5625,-16,58.3552080318633,0.405244500221273
"108","GB",2019,-2.1400534535868,-117.702939947274,0.538461538461538,6,13,36,55,0.654545454545455,-2.37914725503478,-176.056896872574,0.583333333333333,17,12,45,74,0.608108108108108,-19,58.3539569252998,0.452356255234882
"109","KC",2017,-1.87247971312115,-97.3689450822998,0.5,8,4,40,52,0.769230769230769,-2.63681408120081,-155.572030790848,0.666666666666667,17,12,30,59,0.508474576271186,-7,58.2030857085479,0.524352123500431
"110","LA",2015,-2.70168198239408,-108.067279295763,0.5,11,14,15,40,0.375,-2.47875763618996,-166.076761624728,0.555555555555556,13,18,36,67,0.537313432835821,-27,58.0094823289645,0.54214469466322
"111","NE",2018,-2.96489178135402,-118.595671254161,0.555555555555556,14,9,17,40,0.425,-2.4852497126967,-176.452729601466,0.571428571428571,20,14,37,71,0.52112676056338,-31,57.8570583473054,0.521234759885634
"112","PHI",2009,-2.27882783650886,-145.844981536567,0.5,14,16,35,64,0.546875,-2.68011280183112,-203.688572939165,0.636363636363636,25,11,40,76,0.526315789473684,-12,57.8435914025981,0.413168510018558
"113","SF",2001,-2.39140271654808,-112.39592767776,0.4,13,10,26,47,0.553191489361702,-2.57743510584142,-170.110716985534,0.6,25,15,27,66,0.409090909090909,-19,57.7147893077738,0.510750347856405
"114","CAR",2013,-2.03895516426417,-138.648951169964,0.5,15,6,47,68,0.691176470588235,-2.25421805873752,-196.116971110165,0.818181818181818,20,11,56,87,0.64367816091954,-19,57.4680199402008,0.370761418969037
"115","DEN",2000,-2.54475592486401,-142.506331792385,0.625,13,16,27,56,0.482142857142857,-2.34679380035274,-199.477473029983,0.526315789473684,27,19,39,85,0.458823529411765,-29,56.9711412375987,0.404050647075168
"116","KC",2022,-2.54510638279185,-127.255319139593,0.777777777777778,12,9,29,50,0.58,-2.21749307073823,-184.051924871273,0.583333333333333,14,12,57,83,0.686746987951807,-33,56.7966057316801,0.427042148358497
"117","LA",2013,-2.70946463716763,-146.311090407052,0.571428571428571,11,14,29,54,0.537037037037037,-2.67219544561913,-203.086853867054,0.666666666666667,14,18,44,76,0.578947368421053,-22,56.7757634600019,0.436736642000015
"118","IND",2021,-2.49078378893598,-122.048405657863,0.538461538461538,8,13,28,49,0.571428571428571,-2.72748186248631,-177.28632106161,0.722222222222222,19,18,29,65,0.446153846153846,-16,55.2379154037467,0.484543117576725
"119","KC",2016,-2.49042973548939,-124.521486774469,0.583333333333333,9,12,29,50,0.58,-3.09435494356325,-179.472586726669,0.769230769230769,19,13,26,58,0.448275862068966,-8,54.9510999521992,0.508806481038882
"120","MIN",2015,-1.93589344991351,-129.704861144205,0.466666666666667,9,15,43,67,0.641791044776119,-2.8400589050842,-184.603828830473,0.8,14,10,41,65,0.630769230769231,2,54.8989676862677,0.415901270350513
